NUM_OF_TRIANGLES 8

// Geometry format = position (x y z), texture (u v), normal (x,y,z)

// Top right face
 0.0,  0.5,  0.0,	0.5, 0.5,	4.472135954, 2.236067977, 0.0
 0.5,  0.0, -0.5,	1.0, 1.0,	4.472135954, 2.236067977, 0.0
 0.5,  0.0,  0.5,	1.0, 0.0,	4.472135954, 2.236067977, 0.0

// Top front face
 0.0,  0.5,  0.0,	0.5, 0.5,	0.0, 2.236067977, -4.472135954
-0.5,  0.0, -0.5,	0.0, 1.0,	0.0, 2.236067977, -4.472135954
 0.5,  0.0, -0.5,	1.0, 1.0,	0.0, 2.236067977, -4.472135954

// Top left face
 0.0,  0.5,  0.0,	0.5, 0.5,	-4.472135954, 2.236067977, 0.0
-0.5,  0.0,  0.5,	0.0, 0.0,	-4.472135954, 2.236067977, 0.0
-0.5,  0.0, -0.5,	0.0, 1.0,	-4.472135954, 2.236067977, 0.0

// Top back face
 0.0,  0.5,  0.0,	0.5, 0.5,	0.0, 2.236067977, 4.472135954
 0.5,  0.0,  0.5,	1.0, 0.0,	0.0, 2.236067977, 4.472135954
-0.5,  0.0,  0.5,	0.0, 0.0,	0.0, 2.236067977, 4.472135954

// Bottom right face
 0.5,  0.0,  0.5,	1.0, 0.0,	4.472135954, -2.236067977, 0.0
 0.5,  0.0, -0.5,	1.0, 1.0,	4.472135954, -2.236067977, 0.0
 0.0, -0.5,  0.0,	0.5, 0.5,	4.472135954, -2.236067977, 0.0

// Bottom front face
 0.5,  0.0, -0.5,	1.0, 1.0,	0.0, -2.236067977, -4.472135954
-0.5,  0.0, -0.5,	0.0, 1.0,	0.0, -2.236067977, -4.472135954
 0.0, -0.5,  0.0,	0.5, 0.5,	0.0, -2.236067977, -4.472135954

// Bottom left face
-0.5,  0.0, -0.5,	0.0, 1.0,	-4.472135954, -2.236067977, 0.0
-0.5,  0.0,  0.5,	0.0, 0.0,	-4.472135954, -2.236067977, 0.0
 0.0, -0.5,  0.0,	0.5, 0.5,	-4.472135954, -2.236067977, 0.0

// Bottom back face
-0.5,  0.0,  0.5,	0.0, 0.0,	0.0, -2.236067977, 4.472135954
 0.5,  0.0,  0.5,	1.0, 0.0,	0.0, -2.236067977, 4.472135954
 0.0, -0.5,  0.0,	0.5, 0.5,	0.0, -2.236067977, 4.472135954
